id,pose rmsd,pocket rmsd,qs score,lddt-pli
1Q8UA_base,4.9821501093,8.7586648956,0.8318,0.8418
1Q8UA_seed_1_sample_0,6.9396423595,2.5696542753,0.8165,0.8265
1Q8UA_seed_1_sample_1,6.7092932968,7.0488912714,0.7990,0.8090
1Q8UA_seed_1_sample_2,4.3480896412,5.6449630450,0.7846,0.7946
1Q8UA_seed_1_sample_3,4.5851415476,7.7130743017,0.7719,0.7819
1Q8UA_seed_1_sample_4,4.3295660026,6.1089912214,0.8101,0.8201
1REKA_base,5.6958904680,8.7597643251,0.7936,0.8036
1REKA_seed_1_sample_0,4.8709902108,5.5917387424,0.7923,0.8023
1REKA_seed_1_sample_1,5.9538302918,4.8758623594,0.8053,0.8153
1REKA_seed_1_sample_2,3.1126739730,6.4139517235,0.8087,0.8187
1REKA_seed_1_sample_3,7.3078604920,6.1803880422,0.7643,0.7743
1REKA_seed_1_sample_4,4.8220797329,5.0740763320,0.8283,0.8383
2BUJA_base,5.8556556279,5.2149442009,0.7692,0.7792
2BUJA_seed_1_sample_0,4.7739391008,6.6406809684,0.8470,0.8570
2BUJA_seed_1_sample_1,4.4930812478,6.6156188295,0.8216,0.8316
2BUJA_seed_1_sample_2,5.5460773526,4.9031153392,0.8003,0.8103
2BUJA_seed_1_sample_3,6.0705046304,5.0603007240,0.8366,0.8466
2BUJA_seed_1_sample_4,4.6958582050,3.5312670590,0.8102,0.8202
2CMWA_base,4.7546201585,8.4414678641,0.8236,0.8336
2CMWA_seed_1_sample_0,5.8634490621,5.2450334775,0.8119,0.8219
2CMWA_seed_1_sample_1,3.9738213738,7.7498516542,0.8317,0.8417
2CMWA_seed_1_sample_2,3.3828463786,6.1578072152,0.8310,0.8410
2CMWA_seed_1_sample_3,5.4524160403,9.0191043923,0.7916,0.8016
2CMWA_seed_1_sample_4,4.1773283813,8.1468539816,0.7975,0.8075
2GNHA_base,3.0563708255,6.0070210133,0.8166,0.8266
2GNHA_seed_1_sample_0,4.0301352610,8.0328967119,0.8056,0.8156
2GNHA_seed_1_sample_1,4.3947645839,4.3746366449,0.7641,0.7741
2GNHA_seed_1_sample_2,3.6656758891,7.5989408817,0.8503,0.8603
2GNHA_seed_1_sample_3,3.4014349404,3.8314696004,0.7663,0.7763
2GNHA_seed_1_sample_4,4.9851964538,6.0445886638,0.7682,0.7782
2HZ4A_base,6.1819000092,7.2396543350,0.7843,0.7943
2HZ4A_seed_1_sample_0,4.6600693752,5.8665244968,0.8211,0.8311
2HZ4A_seed_1_sample_1,4.1017526071,5.0610297467,0.8457,0.8557
2HZ4A_seed_1_sample_2,5.4388182678,4.5356315401,0.8051,0.8151
2HZ4A_seed_1_sample_3,5.9098609705,5.0919167958,0.8020,0.8120
2HZ4A_seed_1_sample_4,4.5828024758,7.2148083546,0.8133,0.8233
2HZ4C_base,5.6603193160,6.9314165850,0.8024,0.8124
2HZ4C_seed_1_sample_0,6.4111087253,5.1956486564,0.8114,0.8214
2HZ4C_seed_1_sample_1,4.6906644484,4.0627222642,0.7870,0.7970
2HZ4C_seed_1_sample_2,4.0306774735,6.5656640629,0.8185,0.8285
2HZ4C_seed_1_sample_3,5.3882788145,3.8608441839,0.8176,0.8276
2HZ4C_seed_1_sample_4,5.2551039755,4.8580669798,0.7611,0.7711
2QLQA_base,6.5013935550,4.6165480471,0.8076,0.8176
2QLQA_seed_1_sample_0,3.5828843493,6.6803517726,0.8130,0.8230
2QLQA_seed_1_sample_1,4.1866886465,5.8846177157,0.8210,0.8310
2QLQA_seed_1_sample_2,4.0059133811,6.2265227271,0.7935,0.8035
2QLQA_seed_1_sample_3,3.2021089620,5.9384984889,0.7832,0.7932
2QLQA_seed_1_sample_4,5.0983756740,4.6826857106,0.7908,0.8008
2RG6A_base,5.6365062144,6.3421849596,0.8207,0.8307
2RG6A_seed_1_sample_0,4.1066838227,7.8968933577,0.7927,0.8027
2RG6A_seed_1_sample_1,6.9847215193,5.4967748725,0.7945,0.8045
2RG6A_seed_1_sample_2,6.0665764781,6.4996800998,0.8326,0.8426
2RG6A_seed_1_sample_3,5.7785770925,5.3756448877,0.7941,0.8041
2RG6A_seed_1_sample_4,5.4615909372,7.1742139455,0.7918,0.8018
2VO0A_base,6.2728496812,6.5535933823,0.8079,0.8179
2VO0A_seed_1_sample_0,3.5406785693,6.9054379635,0.8137,0.8237
2VO0A_seed_1_sample_1,5.7591838356,6.0524315056,0.8305,0.8405
2VO0A_seed_1_sample_2,5.7431484091,8.3591380247,0.7922,0.8022
2VO0A_seed_1_sample_3,3.1752415577,5.0686104117,0.7784,0.7884
2VO0A_seed_1_sample_4,5.3874430274,5.1029194895,0.8073,0.8173
2VO7A_base,4.6399705453,4.7845374247,0.8226,0.8326
2VO7A_seed_1_sample_0,6.0056099791,6.4630091347,0.7802,0.7902
2VO7A_seed_1_sample_1,4.4262282386,4.7481462394,0.8000,0.8100
2VO7A_seed_1_sample_2,4.9172682398,4.7219468607,0.8159,0.8259
2VO7A_seed_1_sample_3,5.3818179942,6.6540324315,0.8144,0.8244
2VO7A_seed_1_sample_4,3.9679434298,7.4177686222,0.8114,0.8214
2VWBA_base,5.7371496879,6.4041243744,0.8046,0.8146
2VWBA_seed_1_sample_0,4.8118063674,2.8365214370,0.7938,0.8038
2VWBA_seed_1_sample_1,5.5869527361,4.3708007563,0.7912,0.8012
2VWBA_seed_1_sample_2,4.3355738536,4.2417756799,0.8329,0.8429
