id,pose rmsd,pocket rmsd,qs score,lddt-pli
1Q8UA_base,5.2648944403,9.7014378531,0.6918,0.7018
1Q8UA_seed_1_sample_0,7.3334772488,2.8462490063,0.6765,0.6865
1Q8UA_seed_1_sample_1,7.0900555387,7.8076260958,0.6590,0.6690
1Q8UA_seed_1_sample_2,4.5948501101,6.2525805950,0.6446,0.6546
1Q8UA_seed_1_sample_3,4.8453550601,8.5433010494,0.6319,0.6419
1Q8UA_seed_1_sample_4,4.5752752278,6.7665562487,0.6701,0.6801
1REKA_base,6.0191406120,9.7026556240,0.6536,0.6636
1REKA_seed_1_sample_0,5.1474260545,6.1936272876,0.6523,0.6623
1REKA_seed_1_sample_1,6.2917188994,5.4006947661,0.6653,0.6753
1REKA_seed_1_sample_2,3.2893227894,7.1043423604,0.6687,0.6787
1REKA_seed_1_sample_3,7.7225923008,6.8456381440,0.6243,0.6343
1REKA_seed_1_sample_4,5.0957398352,5.6202442705,0.6883,0.6983
2BUJA_base,6.1879726792,5.7762750003,0.6293,0.6393
2BUJA_seed_1_sample_0,5.0448671515,7.3554764893,0.7070,0.7170
2BUJA_seed_1_sample_1,4.7480702032,7.3277166897,0.6816,0.6916
2BUJA_seed_1_sample_2,5.8608253824,5.4308812264,0.6603,0.6703
2BUJA_seed_1_sample_3,6.4150146780,5.6049858714,0.6966,0.7066
2BUJA_seed_1_sample_4,4.9623550503,3.9113687216,0.6702,0.6802
2CMWA_base,5.0244518309,9.3500980856,0.6836,0.6936
2CMWA_seed_1_sample_0,6.1962084022,5.8096030532,0.6719,0.6819
2CMWA_seed_1_sample_1,4.1993415692,8.5840370753,0.6917,0.7017
2CMWA_seed_1_sample_2,3.5748278757,6.8206267419,0.6910,0.7010
2CMWA_seed_1_sample_3,5.7618486531,9.9899107678,0.6516,0.6616
2CMWA_seed_1_sample_4,4.4143978981,9.0237722921,0.6575,0.6675
2GNHA_base,3.2298243557,6.6536100807,0.6766,0.6866
2GNHA_seed_1_sample_0,4.2588513521,8.8975487885,0.6656,0.6756
2GNHA_seed_1_sample_1,4.6441739243,4.8455176726,0.6241,0.6341
2GNHA_seed_1_sample_2,3.8737083759,8.4168824350,0.7103,0.7203
2GNHA_seed_1_sample_3,3.5944713656,4.2438847310,0.6263,0.6363
2GNHA_seed_1_sample_4,5.2681136694,6.6952214713,0.6282,0.6382
2HZ4A_base,6.5327319080,8.0189226835,0.6443,0.6543
2HZ4A_seed_1_sample_0,4.9245351519,6.4979906752,0.6811,0.6911
2HZ4A_seed_1_sample_1,4.3345330877,5.6057933653,0.7057,0.7157
2HZ4A_seed_1_sample_2,5.7474791871,5.0238418795,0.6651,0.6751
2HZ4A_seed_1_sample_3,6.2452542546,5.6400050620,0.6620,0.6720
2HZ4A_seed_1_sample_4,4.8428832425,7.9914023094,0.6733,0.6833
2HZ4C_base,5.9815507449,7.6775065646,0.6624,0.6724
2HZ4C_seed_1_sample_0,6.7749485551,5.7549025048,0.6714,0.6814
2HZ4C_seed_1_sample_1,4.9568665403,4.5000291745,0.6470,0.6570
2HZ4C_seed_1_sample_2,4.2594243360,7.2723848474,0.6785,0.6885
2HZ4C_seed_1_sample_3,5.6940715457,4.2764211620,0.6776,0.6876
2HZ4C_seed_1_sample_4,5.5533388390,5.3809839117,0.6211,0.6311
2QLQA_base,6.8703571814,5.1134681494,0.6676,0.6776
2QLQA_seed_1_sample_0,3.7862182948,7.3994174147,0.6730,0.6830
2QLQA_seed_1_sample_1,4.4242893720,6.5180314282,0.6810,0.6910
2QLQA_seed_1_sample_2,4.2332548450,6.8967387151,0.6535,0.6635
2QLQA_seed_1_sample_3,3.3838333453,6.5777118680,0.6432,0.6532
2QLQA_seed_1_sample_4,5.3877159764,5.1867247975,0.6508,0.6608
2RG6A_base,5.9563862148,7.0248507018,0.6807,0.6907
2RG6A_seed_1_sample_0,4.3397441570,8.7469061844,0.6527,0.6627
2RG6A_seed_1_sample_1,7.3811147170,6.0884416123,0.6545,0.6645
2RG6A_seed_1_sample_2,6.4108635972,7.1992984439,0.6926,0.7026
2RG6A_seed_1_sample_3,6.1065198238,5.9542733305,0.6541,0.6641
2RG6A_seed_1_sample_4,5.7715442389,7.9464383632,0.6518,0.6618
2VO0A_base,6.6288431074,7.2590148922,0.6679,0.6779
2VO0A_seed_1_sample_0,3.7416172748,7.6487316332,0.6737,0.6837
2VO0A_seed_1_sample_1,6.0860259711,6.7039085079,0.6905,0.7005
2VO0A_seed_1_sample_2,6.0690805106,9.2589063538,0.6522,0.6622
2VO0A_seed_1_sample_3,3.3554411764,5.6141900047,0.6384,0.6484
2VO0A_seed_1_sample_4,5.6931883264,5.6521920734,0.6673,0.6773
2VO7A_base,4.9032956839,5.2995397170,0.6826,0.6926
2VO7A_seed_1_sample_0,6.3464371599,7.1586802568,0.6402,0.6502
2VO7A_seed_1_sample_1,4.6774231876,5.2592314249,0.6600,0.6700
2VO7A_seed_1_sample_2,5.1963304295,5.2302119742,0.6759,0.6859
2VO7A_seed_1_sample_3,5.6872440643,7.3702650891,0.6744,0.6844
2VO7A_seed_1_sample_4,4.1931300432,8.2162089947,0.6714,0.6814
2VWBA_base,6.0627413531,7.0934572064,0.6646,0.6746
2VWBA_seed_1_sample_0,5.0848834410,3.1418414528,0.6538,0.6638
2VWBA_seed_1_sample_1,5.9040205039,4.8412688933,0.6512,0.6612
2VWBA_seed_1_sample_2,4.5816240332,4.6983557010,0.6929,0.7029
2VWBA_seed_1_sample_3,6.8487303866,4.5435433076,0.6474,0.6574
2VWBA_seed_1_sample_4,6.0727612261,5.5491405214,0.6943,0.7043
2VWBB_base,4.9928487970,9.6791179400,0.6435,0.6535
2VWBB_seed_1_sample_0,6.1135168300,5.6901427083,0.7278,0.7378
2VWBB_seed_1_sample_1,7.1524266776,5.1126789501,0.6350,0.6450
2VWBB_seed_1_sample_2,8.1686755359,7.3176603534,0.7018,0.7118
2VWBB_seed_1_sample_3,3.5223162953,6.2518529960,0.6518,0.6618
2VWBB_seed_1_sample_4,6.5097161763,6.3328808865,0.6675,0.6775
2XYNB_base,5.8636954716,5.1753990060,0.6685,0.6785
2XYNB_seed_1_sample_0,5.0990166591,6.1423588755,0.6567,0.6667
2XYNB_seed_1_sample_1,4.0586348390,6.8497986780,0.7143,0.7243
2XYNB_seed_1_sample_2,7.1478388882,3.8104920300,0.6717,0.6817
2XYNB_seed_1_sample_3,3.8079020936,4.1083803855,0.6434,0.6534
2XYNB_seed_1_sample_4,6.0149574215,8.0584812362,0.6827,0.6927
2XYNC_base,7.2281267121,7.5862402318,0.6840,0.6940
2XYNC_seed_1_sample_0,3.4994141971,5.4136350883,0.6468,0.6568
2XYNC_seed_1_sample_1,4.8398486236,4.7613630901,0.6805,0.6905
2XYNC_seed_1_sample_2,3.7629706045,5.8661486453,0.6712,0.6812
2XYNC_seed_1_sample_3,5.5484933990,4.5593127261,0.6862,0.6962
2XYNC_seed_1_sample_4,7.6225174330,5.6438176181,0.6840,0.6940
2YA9A_base,8.6572914801,9.2846274747,0.6696,0.6796
2YA9A_seed_1_sample_0,3.3467318200,6.3509405986,0.6616,0.6716
2YA9A_seed_1_sample_1,4.5211918957,8.2248254612,0.6880,0.6980
2YA9A_seed_1_sample_2,6.2239152963,5.8120295769,0.6760,0.6860
2YA9A_seed_1_sample_3,7.7473904248,6.7391840536,0.6400,0.6500
2YA9A_seed_1_sample_4,5.7997543623,8.6888673392,0.6589,0.6689
2YA9B_base,4.3317642404,4.3999825610,0.6601,0.6701
2YA9B_seed_1_sample_0,5.6226089472,5.6334129604,0.6645,0.6745
2YA9B_seed_1_sample_1,5.1984375226,5.9083129965,0.7154,0.7254
2YA9B_seed_1_sample_2,4.9608531086,6.5934732726,0.6622,0.6722
2YA9B_seed_1_sample_3,4.3444324536,9.0612007784,0.6793,0.6893
2YA9B_seed_1_sample_4,5.7507359806,7.2933773037,0.7029,0.7129
2YISA_base,5.6377373777,4.2256298101,0.6798,0.6898
2YISA_seed_1_sample_0,5.1001342982,5.7421973836,0.6784,0.6884
2YISA_seed_1_sample_1,4.9386445913,4.9144218302,0.6957,0.7057
2YISA_seed_1_sample_2,3.7859004629,4.8833097104,0.6737,0.6837
2YISA_seed_1_sample_3,4.6226539465,10.1939243980,0.6735,0.6835
2YISA_seed_1_sample_4,7.0577430711,4.7107272229,0.6835,0.6935
2YIWA_base,4.9772291471,6.5187573061,0.6780,0.6880
2YIWA_seed_1_sample_0,3.6422024780,5.1386063717,0.6562,0.6662
2YIWA_seed_1_sample_1,7.2872307633,7.6204102117,0.6465,0.6565
2YIWA_seed_1_sample_2,5.9600523010,6.7127639180,0.6675,0.6775
2YIWA_seed_1_sample_3,8.8421906887,6.3435712363,0.6977,0.7077
2YIWA_seed_1_sample_4,5.3023013675,6.0287710367,0.6652,0.6752
3A2CA_base,4.6513930691,8.1662858400,0.6927,0.7027
3A2CA_seed_1_sample_0,3.6349731686,4.8678871630,0.6780,0.6880
3A2CA_seed_1_sample_1,7.2679371047,5.1235644859,0.6636,0.6736
3A2CA_seed_1_sample_2,9.9233521494,4.6479834320,0.6171,0.6271
3A2CA_seed_1_sample_3,4.2515310705,8.5781782851,0.6742,0.6842
3A2CA_seed_1_sample_4,4.4403845995,5.7098535306,0.6642,0.6742
3A2CB_base,6.0590929092,4.7409368987,0.6378,0.6478
3A2CB_seed_1_sample_0,4.2415405707,5.5334783641,0.6801,0.6901
3A2CB_seed_1_sample_1,4.8786732725,11.4787414179,0.6693,0.6793
3A2CB_seed_1_sample_2,4.7829307173,5.9817713004,0.6773,0.6873
3A2CB_seed_1_sample_3,5.4766994320,7.5995582169,0.6577,0.6677
3A2CB_seed_1_sample_4,6.8634999958,6.9024776264,0.6738,0.6838
3A2CC_base,5.2489591598,6.1256761752,0.6603,0.6703
3A2CC_seed_1_sample_0,6.5682039793,5.1676018855,0.6911,0.7011
3A2CC_seed_1_sample_1,4.6998974073,5.6520095625,0.6723,0.6823
3A2CC_seed_1_sample_2,5.6658817902,5.6235990711,0.6417,0.6517
3A2CC_seed_1_sample_3,3.0585975896,3.5369540648,0.6741,0.6841
3A2CC_seed_1_sample_4,3.6328806009,11.7413641938,0.6711,0.6811
3PYYA_base,6.3693107258,7.7430373360,0.6657,0.6757
3PYYA_seed_1_sample_0,4.5040435253,6.3259270529,0.6428,0.6528
3PYYA_seed_1_sample_1,6.0344917571,5.8400986114,0.6910,0.7010
3PYYA_seed_1_sample_2,5.9780771412,5.0438711440,0.6551,0.6651
3PYYA_seed_1_sample_3,7.2651040485,7.7911649710,0.7014,0.7114
3PYYA_seed_1_sample_4,6.3947520971,5.8642287348,0.6566,0.6666
3PYYB_base,6.7312491914,6.9268357458,0.6704,0.6804
3PYYB_seed_1_sample_0,5.0763630573,4.3436333478,0.6689,0.6789
3PYYB_seed_1_sample_1,4.3839125860,6.7544672514,0.6728,0.6828
3PYYB_seed_1_sample_2,4.3475967007,10.1316101759,0.7226,0.7326
3PYYB_seed_1_sample_3,4.6204953556,5.7154769561,0.6598,0.6698
3PYYB_seed_1_sample_4,3.9355696084,7.5050318129,0.7111,0.7211
3Q6UA_base,4.5523883563,6.1991883742,0.6822,0.6922
3Q6UA_seed_1_sample_0,5.1006635616,8.1001501771,0.6559,0.6659
3Q6UA_seed_1_sample_1,5.5589869784,8.0240324450,0.6949,0.7049
3Q6UA_seed_1_sample_2,4.7960382222,6.2401021947,0.6866,0.6966
3Q6UA_seed_1_sample_3,3.2271267416,5.3424727592,0.6889,0.6989
3Q6UA_seed_1_sample_4,5.1265974070,6.6013456009,0.6431,0.6531
3ROCA_base,5.5226032424,6.2091699538,0.6798,0.6898
3ROCA_seed_1_sample_0,6.8457758848,5.2651473948,0.6617,0.6717
3ROCA_seed_1_sample_1,6.0313983226,6.8874759228,0.6669,0.6769
3ROCA_seed_1_sample_2,4.4443015842,6.8460078193,0.6671,0.6771
3ROCA_seed_1_sample_3,4.3560634201,4.9200973437,0.6706,0.6806
3ROCA_seed_1_sample_4,8.6292904684,5.9757701944,0.7016,0.7116
3TKUA_base,6.3070773563,12.7543175254,0.6773,0.6873
3TKUA_seed_1_sample_0,8.2513172968,7.5367690982,0.6329,0.6429
3TKUA_seed_1_sample_1,8.8895287316,6.2967258662,0.6947,0.7047
3TKUA_seed_1_sample_2,4.2545627173,11.5116038864,0.6715,0.6815
3TKUA_seed_1_sample_3,5.7478750491,5.4834483673,0.6724,0.6824
3TKUA_seed_1_sample_4,5.8535871155,3.3080915000,0.6333,0.6433
3TKUB_base,6.0039402395,3.8146525731,0.6778,0.6878
3TKUB_seed_1_sample_0,5.9774165560,4.2026161043,0.6598,0.6698
3TKUB_seed_1_sample_1,5.4905397372,6.5574298195,0.6889,0.6989
3TKUB_seed_1_sample_2,5.4523418592,7.8434127599,0.6789,0.6889
3TKUB_seed_1_sample_3,3.5854640901,3.5716847640,0.6863,0.6963
3TKUB_seed_1_sample_4,5.0086309208,8.1245951319,0.6623,0.6723
3UTOB_base,4.3301750957,4.5206254432,0.6332,0.6432
3UTOB_seed_1_sample_0,5.3872482762,6.5514976926,0.6891,0.6991
3UTOB_seed_1_sample_1,4.6442334848,6.9002998512,0.6782,0.6882
3UTOB_seed_1_sample_2,6.0930153591,6.8460197516,0.6632,0.6732
3UTOB_seed_1_sample_3,6.4062996828,6.1562740768,0.6586,0.6686
3UTOB_seed_1_sample_4,5.6388829958,6.4130427436,0.6521,0.6621
3W8LB_base,5.6494316113,4.6210868638,0.6345,0.6445
3W8LB_seed_1_sample_0,5.3427984793,6.5872712566,0.6462,0.6562
3W8LB_seed_1_sample_1,4.6672191863,7.8498785317,0.6684,0.6784
3W8LB_seed_1_sample_2,5.0097578881,7.7457214853,0.7020,0.7120
3W8LB_seed_1_sample_3,4.6117223015,11.8082470935,0.6788,0.6888
3W8LB_seed_1_sample_4,5.7517818157,8.0558062304,0.7019,0.7119
3ZOSA_base,5.2385317423,7.3683353021,0.6496,0.6596
3ZOSA_seed_1_sample_0,6.0365683946,9.3134548692,0.6949,0.7049
3ZOSA_seed_1_sample_1,3.7447348985,6.5264906320,0.6615,0.6715
3ZOSA_seed_1_sample_2,6.5172834240,4.4509415669,0.6991,0.7091
3ZOSA_seed_1_sample_3,4.3138848051,3.5100139172,0.6943,0.7043
3ZOSA_seed_1_sample_4,4.3446376376,8.4547439320,0.6705,0.6805
4A06A_base,4.9686697981,7.0822581462,0.6725,0.6825
4A06A_seed_1_sample_0,4.5342820473,7.5943853567,0.6941,0.7041
4A06A_seed_1_sample_1,5.6141724939,5.6540168686,0.6539,0.6639
4A06A_seed_1_sample_2,4.5220783953,6.6978884222,0.6265,0.6365
4A06A_seed_1_sample_3,3.9953992699,9.8372909932,0.6861,0.6961
4A06A_seed_1_sample_4,4.2251814311,6.6811726415,0.7133,0.7233
4A07A_base,7.2464285636,4.6492471243,0.6319,0.6419
4A07A_seed_1_sample_0,5.2781596531,5.5163838055,0.6740,0.6840
