id,pose rmsd,pocket rmsd,qs score,lddt-pli
1Q8UA_seed_101_sample_0,4.7686820714,8.2523521423,0.6118,0.6218
1Q8UA_seed_101_sample_1,6.6423024950,2.4211100911,0.5965,0.6065
1Q8UA_seed_101_sample_2,6.4218230993,6.6414155214,0.5789,0.5889
1Q8UA_seed_101_sample_3,4.1617889188,5.3186442720,0.5645,0.5745
1Q8UA_seed_101_sample_4,4.3886839644,7.2672040769,0.5519,0.5619
1REKA_seed_101_sample_0,4.1440589546,5.7558483392,0.5901,0.6001
1REKA_seed_101_sample_1,5.4518411046,8.2533880170,0.5735,0.5835
1REKA_seed_101_sample_2,4.6622849932,5.2684967104,0.5723,0.5823
1REKA_seed_101_sample_3,5.6987290920,4.5940030435,0.5853,0.5953
1REKA_seed_101_sample_4,2.9793065731,6.0431799683,0.5887,0.5987
2BUJA_seed_101_sample_0,6.9947437440,5.8231179190,0.5442,0.5542
2BUJA_seed_101_sample_1,4.6154701614,4.7807588471,0.6082,0.6182
2BUJA_seed_101_sample_2,5.6047608756,4.9134835573,0.5492,0.5592
2BUJA_seed_101_sample_3,4.5693921902,6.2568026599,0.6269,0.6369
2BUJA_seed_101_sample_4,4.3005681326,6.2331892898,0.6015,0.6115
2CMWA_seed_101_sample_0,5.3084469672,4.6196806084,0.5803,0.5903
2CMWA_seed_101_sample_1,5.8104043356,4.7677795667,0.6166,0.6266
2CMWA_seed_101_sample_2,4.4946567929,3.3271348575,0.5902,0.6002
2CMWA_seed_101_sample_3,4.5509009983,7.9534913418,0.6036,0.6136
2CMWA_seed_101_sample_4,5.6122203879,4.9418334609,0.5919,0.6019
2VWBA_seed_101_sample_0,3.8035567626,7.3018554384,0.6117,0.6217
2VWBA_seed_101_sample_1,3.2379030182,5.8018424235,0.6110,0.6210
2VWBA_seed_101_sample_2,5.2187987208,8.4977363948,0.5716,0.5816
2VWBA_seed_101_sample_3,3.9983441930,7.6759082245,0.5775,0.5875
2VWBA_seed_101_sample_4,2.9254158224,5.6597727301,0.5966,0.6066
2VWBB_seed_101_sample_0,3.8574577928,7.5685384906,0.5855,0.5955
2VWBB_seed_101_sample_1,4.2064640004,4.1217517188,0.5441,0.5541
2VWBB_seed_101_sample_2,3.5086142545,7.1596683755,0.6302,0.6402
2VWBB_seed_101_sample_3,3.2556951239,3.6099835696,0.5463,0.5563
2VWBB_seed_101_sample_4,4.7715978905,5.6951687048,0.5481,0.5581
2XYNC_seed_101_sample_0,5.9170268046,6.8211511312,0.5642,0.5742
2XYNC_seed_101_sample_1,4.4604013916,5.5273979055,0.6010,0.6110
2XYNC_seed_101_sample_2,3.9260065814,4.7684664467,0.6256,0.6356
2XYNC_seed_101_sample_3,5.2057835662,4.2734399709,0.5850,0.5950
2XYNC_seed_101_sample_4,5.6566437053,4.7975680060,0.5819,0.5919
2YA9A_seed_101_sample_0,4.3864451138,6.7977414242,0.5932,0.6032
2YA9A_seed_101_sample_1,5.4177940545,6.5307317024,0.5824,0.5924
2YA9A_seed_101_sample_2,6.1364147136,4.8953034316,0.5914,0.6014
2YA9A_seed_101_sample_3,4.4896855709,3.8278681945,0.5670,0.5770
2YA9A_seed_101_sample_4,3.8579767734,6.1861222618,0.5985,0.6085
2YA9B_seed_101_sample_0,5.1574095551,3.6376600945,0.5976,0.6076
2YA9B_seed_101_sample_1,5.0299408009,4.5772363626,0.5411,0.5511
2YA9B_seed_101_sample_2,6.2228311481,4.3496789317,0.5875,0.5975
2YA9B_seed_101_sample_3,3.4293700482,6.2941802111,0.5930,0.6030
2YA9B_seed_101_sample_4,4.0073034029,5.5444452085,0.6010,0.6110
2YISA_seed_101_sample_0,3.8342737374,5.8665856930,0.5734,0.5834
2YISA_seed_101_sample_1,3.0649095797,5.5952112921,0.5632,0.5732
2YISA_seed_101_sample_2,4.8799277694,4.4119933707,0.5707,0.5807
2YISA_seed_101_sample_3,5.3950012625,5.9755618307,0.6007,0.6107
2YISA_seed_101_sample_4,3.9307265113,7.4403970918,0.5727,0.5827
2YIWA_seed_101_sample_0,6.6854501675,5.1790224236,0.5745,0.5845
2YIWA_seed_101_sample_1,5.8066444911,6.1239526384,0.6126,0.6226
2YIWA_seed_101_sample_2,5.5309848910,5.0648946083,0.5740,0.5840
2YIWA_seed_101_sample_3,5.2275805049,6.7594936589,0.5718,0.5818
2YIWA_seed_101_sample_4,6.0040795952,6.1747493520,0.5879,0.5979
3A2CA_seed_101_sample_0,3.3889726410,6.5062548289,0.5937,0.6037
3A2CA_seed_101_sample_1,5.5124225686,5.7025581749,0.6105,0.6205
3A2CA_seed_101_sample_2,5.4970742051,7.8759207492,0.5722,0.5822
