id,pose rmsd,pocket rmsd,qs score,lddt-pli
1Q8UA_base,4.7774042144,5.5045775906,0.8118,0.8218
1Q8UA_seed_1_sample_0,6.6544515776,1.6149563327,0.7965,0.8065
1Q8UA_seed_1_sample_1,6.4335689147,4.4300323616,0.7790,0.7890
1Q8UA_seed_1_sample_2,4.1694010258,3.5477024693,0.7646,0.7746
1Q8UA_seed_1_sample_3,4.3967110731,4.8474529465,0.7519,0.7619
1Q8UA_seed_1_sample_4,4.1516386326,3.8393312884,0.7901,0.8001
1REKA_base,5.4618127775,5.5052685516,0.7736,0.7836
1REKA_seed_1_sample_0,4.6708125309,3.5142524735,0.7723,0.7823
1REKA_seed_1_sample_1,5.7091523346,3.0643440523,0.7853,0.7953
1REKA_seed_1_sample_2,2.9847558645,4.0309904929,0.7887,0.7987
1REKA_seed_1_sample_3,7.0075374581,3.8842022071,0.7443,0.7543
1REKA_seed_1_sample_4,4.6239120727,3.1889160281,0.8083,0.8183
2BUJA_base,5.6150122459,3.2774475707,0.7492,0.7592
2BUJA_seed_1_sample_0,4.5777498227,4.1734835253,0.8270,0.8370
2BUJA_seed_1_sample_1,4.3084340733,4.1577326672,0.8016,0.8116
2BUJA_seed_1_sample_2,5.3181563655,3.0814717931,0.7803,0.7903
2BUJA_seed_1_sample_3,5.8210318374,3.1802584411,0.8166,0.8266
2BUJA_seed_1_sample_4,4.5028777308,2.2193032558,0.7902,0.8002
2CMWA_base,4.5592248095,5.3052280674,0.8036,0.8136
2CMWA_seed_1_sample_0,5.6224854020,3.2963578452,0.7919,0.8019
2CMWA_seed_1_sample_1,3.8105136461,4.8705664910,0.8117,0.8217
2CMWA_seed_1_sample_2,3.2438252946,3.8700107846,0.8110,0.8210
2CMWA_seed_1_sample_3,5.2283441482,5.6682565799,0.7716,0.7816
2CMWA_seed_1_sample_4,4.0056573520,5.1200714259,0.7775,0.7875
2GNHA_base,2.9307665450,3.7752458452,0.7966,0.8066
2GNHA_seed_1_sample_0,3.8645132639,5.0484524474,0.7856,0.7956
2GNHA_seed_1_sample_1,4.2141578202,2.7493376136,0.7441,0.7541
2GNHA_seed_1_sample_2,3.5150316744,4.7757232625,0.8303,0.8403
2GNHA_seed_1_sample_3,3.2616499429,2.4079722141,0.7463,0.7563
2GNHA_seed_1_sample_4,4.7803253667,3.7988560700,0.7482,0.7582
2HZ4A_base,5.9278493239,4.5499216480,0.7643,0.7743
2HZ4A_seed_1_sample_0,4.4685596748,3.6869476872,0.8011,0.8111
2HZ4A_seed_1_sample_1,3.9331874315,3.1807166117,0.8257,0.8357
2HZ4A_seed_1_sample_2,5.2153051883,2.8505184332,0.7851,0.7951
2HZ4A_seed_1_sample_3,5.6669899717,3.2001282640,0.7820,0.7920
2HZ4A_seed_1_sample_4,4.3944681275,4.5343066395,0.7933,0.8033
2HZ4C_base,5.4277034537,4.3562027843,0.7824,0.7924
2HZ4C_seed_1_sample_0,6.1476385037,3.2653208570,0.7914,0.8014
