id,pose rmsd,pocket rmsd,qs score,lddt-pli
1CKJ,6.1473427692,9.4816006839,0.9431,0.9531
1Q8U,8.2773618587,7.6307084652,0.9102,0.9202
1REK,5.3653152190,6.1108801825,0.8958,0.9058
2BUJ,5.6569825748,8.3497029735,0.8831,0.8931
2CMW,5.3420561164,6.6132286336,0.9214,0.9314
2VWB,6.0097080205,6.0532531461,0.9036,0.9136
2XYN,7.3454396709,5.2782816348,0.9166,0.9266
2YA9,3.8403021086,6.9433917865,0.9200,0.9300
2YIS,5.9495289848,5.4928859258,0.9396,0.9496
2YIW,7.2248897222,5.6453495424,0.8805,0.8905
3A2C,3.7714522689,6.5028628153,0.9279,0.9379
3BWJ,4.9730282022,8.6959509816,0.9168,0.9268
3C5U,5.4223949496,4.7357084648,0.8753,0.8853
3CBL,4.5228165869,8.2261759161,0.9616,0.9716
3CD3,4.1964801899,4.1476711545,0.8775,0.8875
3EN9,6.1509787460,6.5435231657,0.8794,0.8894
3ENH,5.0609777196,5.4787215895,0.9570,0.9670
3EZR,6.7109736921,4.9100166473,0.9163,0.9263
3F9N,7.2911709619,5.5122253886,0.9132,0.9232
3GVU,5.6544296969,7.8103486536,0.9245,0.9345
3H30,6.9837950033,7.5035501144,0.9137,0.9237
3HL7,7.9100274213,5.6245079993,0.9227,0.9327
3HLL,5.7877047094,4.3980540117,0.8982,0.9082
3HP2,4.9734652484,7.1076203952,0.9298,0.9398
3HP5,6.6483600116,4.1795301758,0.9289,0.9389
3HRF,6.4833962445,5.2590376842,0.8723,0.8823
3JVR,8.0208767461,4.9975459117,0.9188,0.9288
3JVS,4.4210587111,7.2317976431,0.9243,0.9343
3K3I,5.1660486819,6.3703526861,0.9323,0.9423
3K3J,4.9422067890,6.7404884818,0.9047,0.9147
3K5V,3.9513263597,6.4286947775,0.8945,0.9045
3LJ0,5.0673969868,8.5486923671,0.9040,0.9140
3LW0,6.7384966531,7.7663992222,0.9031,0.9131
3MS9,4.3692374582,7.4754257339,0.9250,0.9350
3MSS,3.9183488583,5.4870075103,0.8896,0.8996
3NEW,5.7247872550,5.1794290077,0.9339,0.9439
3O2M,5.4614459199,5.1400363394,0.9113,0.9213
3O96,6.0672993874,5.1116820003,0.9272,0.9372
3OHT,4.8962316426,8.0300093878,0.9227,0.9327
3ORO,7.0781856157,6.9327150454,0.9159,0.9259
3ORX,5.3498407198,4.5918483640,0.9442,0.9542
3ORZ,4.1126456636,6.1101759646,0.9031,0.9131
3OTU,5.9531947591,6.0031730082,0.9080,0.9180
3PJ1,4.7384156898,6.6946298571,0.9657,0.9757
3PXF,8.3454487237,3.7241361616,0.9229,0.9329
3PXQ,4.4458746252,4.0152822075,0.8946,0.9046
3PXZ,7.0227394544,7.8758737785,0.9340,0.9440
3PY1,8.4391100098,7.4143285437,0.9353,0.9453
3PYY,4.0863281306,5.2909948169,0.8981,0.9081
3Q6U,4.3941580402,5.7332406162,0.9224,0.9324
3ROC,6.4777568035,4.4559574863,0.9375,0.9475
3TKU,8.8990714242,5.5158949325,0.9353,0.9453
3UTO,3.9080412255,6.2070179245,0.9129,0.9229
3W8L,5.2787859948,8.0384810450,0.9393,0.9493
3ZOS,7.2668127945,5.6803362088,0.9273,0.9373
4A06,9.0453645378,6.5864921768,0.8912,0.9012
4A07,6.7717677767,8.4920320902,0.9101,0.9201
4AW0,5.0571897674,4.3002516909,0.9114,0.9214
4AW1,6.5651063775,5.5057360893,0.9158,0.9258
4AW2,6.0695021203,5.7744306671,0.9668,0.9768
4CFE,5.0723945782,8.8558781845,0.9306,0.9406
4CFF,6.7137470745,7.1281016340,0.9542,0.9642
4CNH,6.5818306852,4.1298454259,0.9311,0.9411
4CT1,5.9544777848,5.6121030484,0.9297,0.9397
4CZT,4.4205270147,4.7726462638,0.9250,0.9350
4CZU,5.3967285387,9.9629674702,0.9248,0.9348
4D1Z,4.2531463428,5.0221534831,0.9074,0.9174
4DLI,8.5085841020,7.4477709606,0.8977,0.9077
4DLJ,6.9585176345,6.5606922444,0.9188,0.9288
