id,pose rmsd,pocket rmsd,qs score,lddt-pli
5r91_idx0,3.1142413527,3.3253470740,0.8618,0.8818
5r91_idx1,4.3378302008,0.9756044360,0.8465,0.8665
5r91_idx2,4.1938436567,2.6762081029,0.8289,0.8489
5r91_idx3,2.7179029674,2.1431875255,0.8145,0.8345
5r91_idx4,2.8660793237,2.9283742861,0.8019,0.8219
5r98_idx0,2.7063242152,2.3193621773,0.8401,0.8601
5r98_idx1,3.5603860275,3.3257644874,0.8235,0.8435
5r98_idx2,3.0447575466,2.1229801901,0.8223,0.8423
5r98_idx3,3.7216189989,1.8511879177,0.8353,0.8553
5r98_idx4,1.9456695988,2.4351446083,0.8387,0.8587
5r9a_idx0,4.5679959144,2.3464689581,0.7942,0.8142
5r9a_idx1,3.0141845952,1.9264425669,0.8582,0.8782
5r9a_idx2,3.6602520004,1.9799249824,0.7992,0.8192
5r9a_idx3,2.9840928589,2.5212254711,0.8769,0.8969
5r9a_idx4,2.8085342907,2.5117102868,0.8516,0.8716
5r9b_idx0,3.4667408765,1.8615348847,0.8303,0.8503
5r9b_idx1,3.7945497702,1.9212124686,0.8666,0.8866
5r9b_idx2,2.9352860688,1.3406938982,0.8402,0.8602
5r9b_idx3,2.9720169785,3.2049188771,0.8536,0.8736
5r9b_idx4,3.6651235186,1.9913487883,0.8419,0.8619
5r9c_idx0,2.4839554368,2.9423373116,0.8617,0.8817
5r9c_idx1,2.1145489099,2.3378958379,0.8610,0.8810
5r9c_idx2,3.4081950829,3.4242264955,0.8216,0.8416
5r9c_idx3,2.6111635546,3.0930646820,0.8275,0.8475
5r9c_idx4,1.9104756391,2.2806477914,0.8466,0.8666
5r9f_idx0,2.5191561096,3.0497992439,0.8355,0.8555
5r9f_idx1,2.7470785309,1.6608907111,0.7941,0.8141
5r9f_idx2,2.2913399213,2.8850419702,0.8803,0.9003
5r9f_idx3,2.1261682442,1.4546699042,0.7963,0.8163
5r9f_idx4,3.1161455612,2.2949108644,0.7981,0.8181
5r9g_idx0,3.8641807703,2.7486339124,0.8142,0.8342
5r9g_idx1,2.9129151945,2.2273063649,0.8510,0.8710
5r9g_idx2,2.5639226654,1.9214892521,0.8757,0.8957
5r9g_idx3,3.3996953902,1.7220146278,0.8350,0.8550
5r9g_idx4,3.6941346647,1.9332159433,0.8319,0.8519
5r9j_idx0,2.8646172172,2.7392007957,0.8432,0.8632
5r9j_idx1,3.5381512192,2.6316072294,0.8324,0.8524
5r9j_idx2,4.0074545069,1.9725991647,0.8414,0.8614
5r9j_idx3,2.9320395565,1.5424681449,0.8169,0.8369
5r9j_idx4,2.5194950357,2.4927442756,0.8485,0.8685
5r9p_idx0,3.3681041992,1.4658223671,0.8476,0.8676
5r9p_idx1,3.2848592986,1.8444316581,0.7910,0.8110
5r9p_idx2,4.0638897294,1.7527356878,0.8375,0.8575
5r9p_idx3,2.2395886029,2.5362870352,0.8430,0.8630
5r9p_idx4,2.6170144672,2.2341757032,0.8510,0.8710
5r9s_idx0,2.5040155020,2.3639846230,0.8234,0.8434
5r9s_idx1,2.0015736031,2.2546322767,0.8132,0.8332
5r9s_idx2,3.1868916045,1.7778457575,0.8207,0.8407
5r9s_idx3,3.5232661306,2.4078973736,0.8507,0.8707
5r9s_idx4,2.5670050686,2.9981637080,0.8227,0.8427
5sav_idx0,4.3660082726,2.0869258564,0.8245,0.8445
5sav_idx1,3.7920943615,2.4676925604,0.8626,0.8826
5sav_idx2,3.6120717655,2.0409371989,0.8240,0.8440
5sav_idx3,3.4139301256,2.7237885723,0.8218,0.8418
